module aerx {
        NPCSoundBoost	=	1.5,
        KnockBackOnNoDeath	=	TRUE,
        Ranged	=	TRUE,
        SwingAmountBeforeImpact	=	0,
        ProjectileCount	=	1,
        ConditionLowerChanceOneIn	=	5,
        Weight	=	1.5,
        SplatNumber	=	3,
        PushBackMod	=	0.3,
        SubCategory	=	Firearm,
        ConditionMax	=	10,
        ShareDamage	=	FALSE,
        MaxHitCount	=	1,
        IsAimedFirearm	=	TRUE,
        DoorDamage	=	5,
        UseEndurance	=	FALSE,
        SwingAnim	=	Handgun,
        DisplayName	=	Junk Handgun,
        MinRange	=	0.61,
        SwingTime	=	0.5,
        MultipleHitConditionAffected	=	FALSE,
		BringToBearSound = M9BringToBear,
		SwingSound	=	M9Shoot,
		HitSound = BulletHitBody,
		ClickSound = M9Jam,
        SoundRadius	=	70,
        MinDamage	=	0.7,
        MaxDamage	=	1.4,
        SplatSize	=	3,
        KnockdownMod	=	2,
        SplatBloodOnNoDeath	=	TRUE,
        Icon	=	T1Pistol2,
        RunAnim	=	Run_Weapon2,
        CriticalChance	=	20,
        CritDmgMultiplier = 4,
        AimingPerkCritModifier = 10,
        AimingPerkRangeModifier = 1.5,
        HitChance = 20,
        AimingPerkHitChanceModifier = 12,
        AimingPerkMinAngleModifier = 0.05,
        RecoilDelay = 32,
        SoundGain = 1.5,
        ClipSize = 1,
        ReloadTime = 30,
        AimingTime = 30,
        BreakSound  =   DesertEagleBreak,
        MetalValue = 30,
        MaxAmmo = 1,
		EquipSound = M9Equip,
		UnequipSound = M9UnEquip,
        InsertAmmoSound = M9InsertAmmo,
        EjectAmmoSound = M9EjectAmmo,
		InsertAmmoStartSound = M9InsertAmmoStart,
		InsertAmmoStopSound = M9InsertAmmoStop,
		EjectAmmoStartSound = M9EjectAmmoStart,
		EjectAmmoStopSound = M9EjectAmmoStop,
        ShellFallSound = M9CartridgeFall,
        RackSound = M9Rack,
        AmmoType = aerx.T1PistolAmmo,
        WeaponReloadType = revolver,
        JamGunChance = 15,
        AttachmentType = Holster,
        haveChamber = FALSE,
        StopPower = 9,
	}

item T1Shotgun1
    {
        DisplayCategory = Weapon,
        ImpactSound	=	null,
        MaxRange	=	7,
        RangeFalloff	=	TRUE,
        WeaponSprite	=	M_T1Shotgun1,
        SoundVolume	=	200,
        MinAngle	=	0.9,
        Type	=	Weapon,
        KnockBackOnNoDeath	=	TRUE,
        Ranged	=	TRUE,
        ProjectileCount	=	5,
        ConditionLowerChanceOneIn	=	4,
        Weight	=	4,
        SplatNumber	=	5,
        PushBackMod	=	0.8,
        SubCategory	=	Firearm,
        AimingMod	=	2,
        ConditionMax	=	10,
        ShareDamage	=	FALSE,
        MaxHitCount	=	4,
        IsAimedHandWeapon	=	TRUE,
        IsAimedFirearm	=	TRUE,
        DoorDamage	=	30,
        UseEndurance	=	FALSE,
        DisplayName	=	Junk Pipe Shotgun,
        MinRange	=	0.67,
        SwingTime	=	2,
        AngleFalloff	=	TRUE,
        MultipleHitConditionAffected	=	FALSE,
		BringToBearSound = DoubleBarrelShotgunBringToBear,
        SwingSound	=	DoubleBarrelShotgunShoot,
        HitSound = BulletHitBody,
		ClickSound = DoubleBarrelShotgunJam,
        SoundRadius	=	100,
        MinDamage	=	1.5,
        MaxDamage	=	2,
        KnockdownMod	=	8,
        SplatBloodOnNoDeath	=	TRUE,
        Icon	=	T1Shotgun,
        RunAnim	=	Run_Weapon2,
        CriticalChance = 80,
        CritDmgMultiplier = 2,
        AimingPerkCritModifier = 4,
        HitChance = 80,
        AimingPerkHitChanceModifier = 5,
        RecoilDelay = 50,
        SoundGain = 2,
        ReloadTime = 25,
        AimingTime = 20,
        RequiresEquippedBothHands = TRUE,
        BreakSound  =   DoubleBarrelShotgunBreak,
        MetalValue = 45,
        TwoHandWeapon = TRUE,
        AmmoBox = ShotgunShellsBox,
        MaxAmmo = 1,
		EquipSound = DoubleBarrelShotgunEquip,
		UnequipSound = DoubleBarrelShotgunUnEquip,
        InsertAmmoSound = DoubleBarrelShotgunInsertAmmo,
        EjectAmmoSound = DoubleBarrelShotgunEjectAmmo,
		InsertAmmoStartSound = DoubleBarrelShotgunInsertAmmoStart,
		InsertAmmoStopSound = DoubleBarrelShotgunInsertAmmoStop,
		EjectAmmoStartSound = DoubleBarrelShotgunEjectAmmoStart,
		EjectAmmoStopSound = DoubleBarrelShotgunEjectAmmoStop,
        ShellFallSound = DoubleBarrelShotgunCartridgeFall,
        AmmoType = aerx.T1ShotgunAmmo,
	WeaponReloadType = shotgun,
        JamGunChance = 25,
        AttachmentType = Rifle,
        InsertAllBulletsReload = TRUE,
        RackAfterShoot = FALSE,
        haveChamber = FALSE,
        StopPower = 40,
    }

	item T1Shotgun2
	{
        DisplayCategory = Weapon,
        ImpactSound	=	null,
        MaxRange	=	7,
        WeaponSprite	=	M_T1Shotgun2,
        SoundVolume	=	75,
        MinAngle	=	0.95,
        Type	=	Weapon,
        MinimumSwingTime	=	0.5,
        ToHitModifier	=	1.5,
        NPCSoundBoost	=	1.5,
        KnockBackOnNoDeath	=	TRUE,
        Ranged	=	TRUE,
        SwingAmountBeforeImpact	=	0,
        ProjectileCount	=	5,
        ConditionLowerChanceOneIn	=	4,
        Weight	=	1.5,
        SplatNumber	=	5,
        PushBackMod	=	0.3,
        SubCategory	=	Firearm,
        ConditionMax	=	10,
        ShareDamage	=	FALSE,
        MaxHitCount	=	4,
        IsAimedHandWeapon	=	TRUE,
        IsAimedFirearm	=	TRUE,
        DoorDamage	=	30,
        UseEndurance	=	FALSE,
        SwingAnim	=	Handgun,
        DisplayName	=	Junk Stapler Shotgun,
        MinRange	=	0.61,
        SwingTime	=	0.5,
        MultipleHitConditionAffected	=	FALSE,
		BringToBearSound = DoubleBarrelShotgunBringToBear,
        SwingSound	=	DoubleBarrelShotgunShoot,
        HitSound = BulletHitBody,
		ClickSound = DoubleBarrelShotgunJam,
        SoundRadius	=	100,
        MinDamage	=	1.5,
        MaxDamage	=	2,
        KnockdownMod	=	8,
        SplatBloodOnNoDeath	=	TRUE,
        Icon	=	T1Shotgun2,
        RunAnim	=	Run_Weapon2,
        CriticalChance	=	20,
        CritDmgMultiplier = 4,
        AimingPerkCritModifier = 10,
        AimingPerkRangeModifier = 1.5,
        HitChance = 20,
        AimingPerkHitChanceModifier = 12,
        AimingPerkMinAngleModifier = 0.05,
        RecoilDelay = 32,
        SoundGain = 1.5,
        ClipSize = 1,
        ReloadTime = 30,
        AimingTime = 30,
        BreakSound  =   DesertEagleBreak,
        MetalValue = 30,
        MaxAmmo = 1,
		EquipSound = DoubleBarrelShotgunEquip,
		UnequipSound = DoubleBarrelShotgunUnEquip,
        InsertAmmoSound = DoubleBarrelShotgunInsertAmmo,
        EjectAmmoSound = DoubleBarrelShotgunEjectAmmo,
		InsertAmmoStartSound = DoubleBarrelShotgunInsertAmmoStart,
		InsertAmmoStopSound = DoubleBarrelShotgunInsertAmmoStop,
		EjectAmmoStartSound = DoubleBarrelShotgunEjectAmmoStart,
		EjectAmmoStopSound = DoubleBarrelShotgunEjectAmmoStop,
        ShellFallSound = DoubleBarrelShotgunCartridgeFall,
        AmmoType = aerx.T1ShotgunAmmo,
        WeaponReloadType = shotgun,
        JamGunChance = 25,
        AttachmentType = Holster,
        InsertAllBulletsReload = TRUE,
        RackAfterShoot = FALSE,
        haveChamber = FALSE,
        StopPower = 40,
	}

item T1Revolver
    {
        DisplayCategory = Weapon,
        ImpactSound	=	null,
        MaxRange	=	7,
        WeaponSprite	=	M_T1Revolver,
        SoundVolume	=	75,
        MinAngle	=	0.95,
        Type	=	Weapon,
        MinimumSwingTime	=	0.5,
        ToHitModifier	=	1.5,
        NPCSoundBoost	=	1.5,
        KnockBackOnNoDeath	=	TRUE,
        Ranged	=	TRUE,
        SwingAmountBeforeImpact	=	0,
        ProjectileCount	=	1,
        ConditionLowerChanceOneIn	=	5,
        Weight	=	2,
        SplatNumber	=	3,
        PushBackMod	=	0.3,
        SubCategory	=	Firearm,
        ConditionMax	=	5,
        ShareDamage	=	FALSE,
        MaxHitCount	=	1,
        IsAimedFirearm	=	TRUE,
        DoorDamage	=	5,
        UseEndurance	=	FALSE,
        SwingAnim	=	Handgun,
        DisplayName	=	Junk Stapler Revolver,
        MinRange	=	0.61,
        SwingTime	=	0.5,
        MultipleHitConditionAffected	=	FALSE,
        SoundRadius	=	80,
        MinDamage	=	0.9,
        MaxDamage	=	1.4,
        SplatSize	=	3,
        KnockdownMod	=	2,
        SplatBloodOnNoDeath	=	TRUE,
        Icon	=	T1Revolver,
        RunAnim	=	Run_Weapon2,
        CriticalChance	=	20,
        CritDmgMultiplier = 4,
        AimingPerkCritModifier = 10,
        AimingPerkRangeModifier = 1.5,
        HitChance = 20,
        AimingPerkHitChanceModifier = 12,
        AimingPerkMinAngleModifier = 0.05,
        RecoilDelay = 45,
        SoundGain = 1.5,
        ClipSize = 15,
        ReloadTime = 30,
        AimingTime = 50,
        BreakSound = MagnumBreak,
        MetalValue = 30,
        AmmoBox = Bullets44Box,
        MaxAmmo = 6,
		BringToBearSound = MagnumBringToBear,
        SwingSound = MagnumShoot,
        HitSound = BulletHitBody,
		ClickSound = MagnumJam,
		EquipSound = MagnumEquip,
		UnequipSound = MagumUnEquip,
        InsertAmmoSound = MagnumInsertAmmo,
        EjectAmmoSound = MagnumEjectAmmo,
		InsertAmmoStartSound = MagnumInsertAmmoStart,
		InsertAmmoStopSound = MagnumInsertAmmoStop,
		EjectAmmoStartSound = MagnumEjectAmmoStart,
		EjectAmmoStopSound = MagnumEjectAmmoStop,
        ShellFallSound = MagnumCartridgeFall,
        AmmoType = aerx.T1RevolverAmmo,
        WeaponReloadType = revolver,
        JamGunChance = 25,
        haveChamber = FALSE,
        ManuallyRemoveSpentRounds = TRUE,
        AttachmentType = Holster,
        StopPower = 12,
    }

}
